Subset,N,MAE,RMSE,WAPE,sMAPE,R2,AE_P50,AE_P90,AE_P95
SwitchTriggered=True,1,1725.788585197719,1725.788585197719,0.023694170261926727,0.023978242542620203,,1725.788585197719,1725.788585197719,1725.788585197719
SwitchTriggered=False,1958,607.962262002043,766.4257542888231,0.011120058091950139,0.011453327565380441,0.9933165271018205,502.16200000000026,1260.0674,1459.627699999997
