Model,PR_AUC,BestF1,BestThreshold
ens_residual_lstm,0.9404929990032889,0.8704663212430234,67211.2846106324
lstm,0.9383137824583333,0.8702290076330879,66590.54
final_switch_residual,0.9383137824583333,0.8702290076330879,66590.54
ens_nnls,0.9383137824583333,0.8702290076330879,66590.53999993381
sarima,0.1642968050246213,0.313092979126832,44336.37227577562
