utc_timestamp,actual,forecast,error,lower_ci,upper_ci
2018-08-26 06:00:00+00:00,42476.0,38681.65025265394,3794.3497473460593,,
2018-08-26 07:00:00+00:00,45330.0,41963.223893251685,3366.776106748315,,
2018-08-26 08:00:00+00:00,47857.0,44391.47259800647,3465.5274019935314,,
2018-08-26 09:00:00+00:00,50399.0,46192.34149364944,4206.658506350563,,
2018-08-26 10:00:00+00:00,49759.0,47626.20871094894,2132.7912890510634,,
2018-08-26 11:00:00+00:00,47432.0,47453.86105093849,-21.861050938488916,,
2018-08-26 12:00:00+00:00,45900.0,46176.85896437961,-276.85896437960764,,
2018-08-26 13:00:00+00:00,45279.0,45139.052938747525,139.94706125247467,,
2018-08-26 14:00:00+00:00,45238.0,44998.30256510261,239.69743489738903,,
2018-08-26 15:00:00+00:00,45990.0,46633.63087780379,-643.6308778037928,,
2018-08-26 16:00:00+00:00,47550.0,49154.895873632144,-1604.8958736321438,,
2018-08-26 17:00:00+00:00,48060.0,48872.38549535889,-812.3854953588889,,
2018-08-26 18:00:00+00:00,48571.0,47072.368172582785,1498.6318274172154,,
2018-08-26 19:00:00+00:00,47990.0,43645.01535722379,4344.9846427762095,,
2018-08-26 20:00:00+00:00,46398.0,41191.344763501336,5206.655236498664,,
2018-08-26 21:00:00+00:00,43635.0,39889.65707617707,3745.342923822929,,
2018-08-26 22:00:00+00:00,41714.0,36498.42345685425,5215.576543145748,,
2018-08-26 23:00:00+00:00,40829.0,33364.17745982487,7464.822540175133,,
2018-08-27 00:00:00+00:00,40530.0,31297.15074415198,9232.849255848021,,
2018-08-27 01:00:00+00:00,40939.0,30173.02730613659,10765.972693863408,,
2018-08-27 02:00:00+00:00,42595.0,30076.20541218777,12518.79458781223,,
2018-08-27 03:00:00+00:00,47208.0,30759.334886253357,16448.665113746643,,
2018-08-27 04:00:00+00:00,55697.0,32081.49047897378,23615.50952102622,,
2018-08-27 05:00:00+00:00,61516.0,34739.13412865361,26776.86587134639,,
2018-08-27 06:00:00+00:00,65318.0,38634.36951770201,26683.630482297987,,
2018-08-27 07:00:00+00:00,66705.0,41915.94315829976,24789.056841700243,,
2018-08-27 08:00:00+00:00,68075.0,44344.19186305454,23730.80813694546,,
2018-08-27 09:00:00+00:00,70175.0,46145.06075869751,24029.93924130249,,
2018-08-27 10:00:00+00:00,69744.0,47578.92797599701,22165.07202400299,,
2018-08-27 11:00:00+00:00,68593.0,47406.58031598656,21186.41968401344,,
2018-08-27 12:00:00+00:00,67367.0,46129.57822942768,21237.42177057232,,
2018-08-27 13:00:00+00:00,66230.0,45091.7722037956,21138.227796204403,,
2018-08-27 14:00:00+00:00,64667.0,44951.02183015068,19715.978169849317,,
2018-08-27 15:00:00+00:00,64257.0,46586.350142851865,17670.649857148135,,
2018-08-27 16:00:00+00:00,63569.0,49107.615138680216,14461.384861319784,,
2018-08-27 17:00:00+00:00,62506.0,48825.10476040696,13680.89523959304,,
2018-08-27 18:00:00+00:00,61221.0,47025.08743763086,14195.912562369143,,
2018-08-27 19:00:00+00:00,58342.0,43597.73462227186,14744.265377728138,,
2018-08-27 20:00:00+00:00,53998.0,41144.06402854941,12853.935971450592,,
2018-08-27 21:00:00+00:00,49764.0,39842.37634122514,9921.623658774857,,
2018-08-27 22:00:00+00:00,47089.0,36451.142721902324,10637.857278097676,,
2018-08-27 23:00:00+00:00,45483.0,33316.89672487294,12166.103275127061,,
2018-08-28 00:00:00+00:00,44528.0,31249.87000920005,13278.12999079995,,
2018-08-28 01:00:00+00:00,44620.0,30125.746571184663,14494.253428815337,,
2018-08-28 02:00:00+00:00,45605.0,30028.924677235842,15576.075322764158,,
2018-08-28 03:00:00+00:00,49350.0,30712.05415130143,18637.94584869857,,
2018-08-28 04:00:00+00:00,56554.0,32034.209744021853,24519.790255978147,,
2018-08-28 05:00:00+00:00,61391.0,34691.853393701684,26699.146606298316,,
2018-08-28 06:00:00+00:00,64558.0,38587.088782750085,25970.911217249915,,
2018-08-28 07:00:00+00:00,65035.0,41868.66242334783,23166.33757665217,,
2018-08-28 08:00:00+00:00,66105.0,44296.91112810261,21808.088871897387,,
2018-08-28 09:00:00+00:00,67974.0,46097.78002374558,21876.21997625442,,
2018-08-28 10:00:00+00:00,67757.0,47531.64724104508,20225.35275895492,,
2018-08-28 11:00:00+00:00,66371.0,47359.29958103463,19011.700418965367,,
2018-08-28 12:00:00+00:00,64389.0,46082.29749447575,18306.70250552425,,
2018-08-28 13:00:00+00:00,63457.0,45044.49146884367,18412.50853115633,,
2018-08-28 14:00:00+00:00,62576.0,44903.741095198755,17672.258904801245,,
2018-08-28 15:00:00+00:00,62338.0,46539.06940789994,15798.930592100063,,
2018-08-28 16:00:00+00:00,61876.0,49060.33440372829,12815.665596271712,,
2018-08-28 17:00:00+00:00,61168.0,48777.82402545503,12390.175974544967,,
2018-08-28 18:00:00+00:00,60398.0,46977.80670267893,13420.193297321071,,
2018-08-28 19:00:00+00:00,57826.0,43550.453887319934,14275.546112680066,,
2018-08-28 20:00:00+00:00,53312.0,41096.78329359748,12215.21670640252,,
2018-08-28 21:00:00+00:00,49183.0,39795.095606273215,9387.904393726785,,
2018-08-28 22:00:00+00:00,46671.0,36403.8619869504,10267.138013049604,,
2018-08-28 23:00:00+00:00,45262.0,33269.61598992101,11992.38401007899,,
2018-08-29 00:00:00+00:00,44191.0,31202.589274248123,12988.410725751877,,
2018-08-29 01:00:00+00:00,44238.0,30078.465836232735,14159.534163767265,,
2018-08-29 02:00:00+00:00,45447.0,29981.643942283914,15465.356057716086,,
2018-08-29 03:00:00+00:00,49207.0,30664.7734163495,18542.2265836505,,
2018-08-29 04:00:00+00:00,56472.0,31986.929009069925,24485.070990930075,,
2018-08-29 05:00:00+00:00,61114.0,34644.572658749756,26469.427341250244,,
2018-08-29 06:00:00+00:00,64405.0,38539.80804779816,25865.191952201843,,
2018-08-29 07:00:00+00:00,65546.0,41821.3816883959,23724.6183116041,,
2018-08-29 08:00:00+00:00,66247.0,44249.630393150685,21997.369606849315,,
2018-08-29 09:00:00+00:00,67467.0,46050.49928879365,21416.500711206347,,
2018-08-29 10:00:00+00:00,67546.0,47484.36650609315,20061.633493906847,,
2018-08-29 11:00:00+00:00,67663.0,47312.018846082705,20350.981153917295,,
2018-08-29 12:00:00+00:00,66769.0,46035.01675952382,20733.983240476176,,
2018-08-29 13:00:00+00:00,65619.0,44997.21073389174,20621.78926610826,,
2018-08-29 14:00:00+00:00,64163.0,44856.46036024683,19306.539639753173,,
2018-08-29 15:00:00+00:00,63752.0,46491.78867294801,17260.21132705199,,
2018-08-29 16:00:00+00:00,63366.0,49013.05366877636,14352.94633122364,,
2018-08-29 17:00:00+00:00,62800.0,48730.543290503105,14069.456709496895,,
2018-08-29 18:00:00+00:00,61766.0,46930.525967727,14835.474032273,,
2018-08-29 19:00:00+00:00,58635.0,43503.17315236801,15131.826847631994,,
2018-08-29 20:00:00+00:00,54517.0,41049.50255864555,13467.497441354448,,
2018-08-29 21:00:00+00:00,50295.0,39747.81487132129,10547.185128678713,,
2018-08-29 22:00:00+00:00,47310.0,36356.58125199847,10953.418748001532,,
2018-08-29 23:00:00+00:00,45961.0,33222.33525496908,12738.664745030917,,
2018-08-30 00:00:00+00:00,44894.0,31155.308539296195,13738.691460703805,,
2018-08-30 01:00:00+00:00,44991.0,30031.185101280807,14959.814898719193,,
2018-08-30 02:00:00+00:00,46018.0,29934.363207331986,16083.636792668014,,
2018-08-30 03:00:00+00:00,49565.0,30617.492681397573,18947.507318602427,,
2018-08-30 04:00:00+00:00,57811.0,31939.648274117997,25871.351725882003,,
2018-08-30 05:00:00+00:00,62691.0,34597.29192379783,28093.708076202172,,
2018-08-30 06:00:00+00:00,66129.0,38492.52731284623,27636.47268715377,,
2018-08-30 07:00:00+00:00,66715.0,41774.10095344397,24940.899046556027,,
2018-08-30 08:00:00+00:00,67708.0,44202.34965819876,23505.650341801243,,
2018-08-30 09:00:00+00:00,68998.0,46003.218553841725,22994.781446158275,,
2018-08-30 10:00:00+00:00,68612.0,47437.085771141225,21174.914228858775,,
2018-08-30 11:00:00+00:00,68136.0,47264.73811113078,20871.261888869223,,
2018-08-30 12:00:00+00:00,66372.0,45987.736024571896,20384.263975428104,,
2018-08-30 13:00:00+00:00,64820.0,44949.92999893981,19870.070001060187,,
2018-08-30 14:00:00+00:00,63722.0,44809.1796252949,18912.8203747051,,
2018-08-30 15:00:00+00:00,63226.0,46444.50793799608,16781.49206200392,,
2018-08-30 16:00:00+00:00,62756.0,48965.77293382443,13790.227066175568,,
2018-08-30 17:00:00+00:00,62016.0,48683.26255555118,13332.737444448823,,
2018-08-30 18:00:00+00:00,60980.0,46883.24523277507,14096.754767224927,,
2018-08-30 19:00:00+00:00,57834.0,43455.89241741608,14378.107582583922,,
2018-08-30 20:00:00+00:00,53777.0,41002.221823693624,12774.778176306376,,
2018-08-30 21:00:00+00:00,49658.0,39700.53413636936,9957.465863630641,,
2018-08-30 22:00:00+00:00,46553.0,36309.30051704654,10243.69948295346,,
2018-08-30 23:00:00+00:00,44883.0,33175.054520017155,11707.945479982845,,
2018-08-31 00:00:00+00:00,44018.0,31108.027804344267,12909.972195655733,,
2018-08-31 01:00:00+00:00,44146.0,29983.90436632888,14162.09563367112,,
2018-08-31 02:00:00+00:00,44849.0,29887.082472380058,14961.917527619942,,
2018-08-31 03:00:00+00:00,48433.0,30570.211946445645,17862.788053554355,,
2018-08-31 04:00:00+00:00,56176.0,31892.36753916607,24283.63246083393,,
2018-08-31 05:00:00+00:00,60936.0,34550.0111888459,26385.9888111541,,
2018-08-31 06:00:00+00:00,63952.0,38445.2465778943,25506.7534221057,,
2018-08-31 07:00:00+00:00,64526.0,41726.820218492045,22799.179781507955,,
2018-08-31 08:00:00+00:00,65410.0,44155.06892324683,21254.93107675317,,
2018-08-31 09:00:00+00:00,66359.0,45955.9378188898,20403.062181110203,,
2018-08-31 10:00:00+00:00,65787.0,47389.8050361893,18397.194963810703,,
2018-08-31 11:00:00+00:00,64026.0,47217.45737617885,16808.54262382115,,
2018-08-31 12:00:00+00:00,62793.0,45940.45528961997,16852.544710380032,,
2018-08-31 13:00:00+00:00,61663.0,44902.649263987885,16760.350736012115,,
2018-08-31 14:00:00+00:00,60616.0,44761.89889034297,15854.10110965703,,
2018-08-31 15:00:00+00:00,60512.0,46397.22720304415,14114.772796955847,,
2018-08-31 16:00:00+00:00,59501.0,48918.492198872504,10582.507801127496,,
2018-08-31 17:00:00+00:00,58581.0,48635.98182059925,9945.018179400751,,
2018-08-31 18:00:00+00:00,57416.0,46835.964497823144,10580.035502176856,,
2018-08-31 19:00:00+00:00,54234.0,43408.61168246415,10825.38831753585,,
2018-08-31 20:00:00+00:00,50190.0,40954.941088741696,9235.058911258304,,
2018-08-31 21:00:00+00:00,46775.0,39653.25340141743,7121.746598582569,,
2018-08-31 22:00:00+00:00,44447.0,36262.01978209461,8184.980217905388,,
2018-08-31 23:00:00+00:00,42552.0,33127.77378506523,9424.226214934773,,
2018-09-01 00:00:00+00:00,41251.0,31060.74706939234,10190.252930607661,,
2018-09-01 01:00:00+00:00,40949.0,29936.62363137695,11012.376368623049,,
2018-09-01 02:00:00+00:00,41088.0,29839.80173742813,11248.19826257187,,
2018-09-01 03:00:00+00:00,41942.0,30522.931211493717,11419.068788506283,,
2018-09-01 04:00:00+00:00,43687.0,31845.08680421414,11841.913195785859,,
2018-09-01 05:00:00+00:00,46377.0,34502.73045389397,11874.269546106028,,
2018-09-01 06:00:00+00:00,50178.0,38397.96584294237,11780.034157057627,,
2018-09-01 07:00:00+00:00,52882.0,41679.53948354012,11202.460516459883,,
2018-09-01 08:00:00+00:00,54397.0,44107.7881882949,10289.2118117051,,
2018-09-01 09:00:00+00:00,55728.0,45908.65708393787,9819.34291606213,,
2018-09-01 10:00:00+00:00,55359.0,47342.52430123737,8016.4756987626315,,
2018-09-01 11:00:00+00:00,53081.0,47170.17664122692,5910.823358773079,,
2018-09-01 12:00:00+00:00,50737.0,45893.17455466804,4843.8254453319605,,
2018-09-01 13:00:00+00:00,49980.0,44855.36852903596,5124.631470964043,,
2018-09-01 14:00:00+00:00,49822.0,44714.61815539104,5107.381844608957,,
2018-09-01 15:00:00+00:00,50328.0,46349.946468092225,3978.0535319077753,,
2018-09-01 16:00:00+00:00,51068.0,48871.211463920576,2196.7885360794244,,
2018-09-01 17:00:00+00:00,50720.0,48588.70108564732,2131.2989143526793,,
2018-09-01 18:00:00+00:00,50234.0,46788.68376287122,3445.3162371287835,,
2018-09-01 19:00:00+00:00,47949.0,43361.33094751222,4587.669052487778,,
2018-09-01 20:00:00+00:00,45641.0,40907.66035378977,4733.339646210232,,
2018-09-01 21:00:00+00:00,42942.0,39605.9726664655,3336.0273335344973,,
2018-09-01 22:00:00+00:00,40203.0,36214.739047142684,3988.2609528573157,,
2018-09-01 23:00:00+00:00,38649.0,33080.4930501133,5568.5069498867015,,
2018-09-02 00:00:00+00:00,37803.0,31013.46633444041,6789.533665559589,,
2018-09-02 01:00:00+00:00,37386.0,29889.342896425023,7496.657103574977,,
2018-09-02 02:00:00+00:00,37288.0,29792.521002476202,7495.478997523798,,
2018-09-02 03:00:00+00:00,37870.0,30475.65047654179,7394.3495234582115,,
2018-09-02 04:00:00+00:00,38396.0,31797.806069262213,6598.193930737787,,
2018-09-02 05:00:00+00:00,39972.0,34455.44971894204,5516.550281057956,,
2018-09-02 06:00:00+00:00,43425.0,38350.685107990445,5074.3148920095555,,
2018-09-02 07:00:00+00:00,46494.0,41632.25874858819,4861.741251411811,,
2018-09-02 08:00:00+00:00,48460.0,44060.50745334297,4399.492546657028,,
2018-09-02 09:00:00+00:00,50398.0,45861.37634898594,4536.623651014059,,
2018-09-02 10:00:00+00:00,50417.0,47295.24356628544,3121.7564337145595,,
2018-09-02 11:00:00+00:00,48914.0,47122.89590627499,1791.1040937250073,,
2018-09-02 12:00:00+00:00,46793.0,45845.89381971611,947.1061802838885,,
2018-09-02 13:00:00+00:00,45895.0,44808.08779408403,1086.9122059159708,,
2018-09-02 14:00:00+00:00,46236.0,44667.337420439115,1568.6625795608852,,
2018-09-02 15:00:00+00:00,47831.0,46302.6657331403,1528.3342668597033,,
2018-09-02 16:00:00+00:00,49026.0,48823.93072896865,202.0692710313524,,
2018-09-02 17:00:00+00:00,49515.0,48541.42035069539,973.5796493046073,,
2018-09-02 18:00:00+00:00,50242.0,46741.40302791929,3500.5969720807116,,
2018-09-02 19:00:00+00:00,48640.0,43314.050212560294,5325.949787439706,,
2018-09-02 20:00:00+00:00,46851.0,40860.37961883784,5990.62038116216,,
2018-09-02 21:00:00+00:00,43896.0,39558.691931513575,4337.308068486425,,
2018-09-02 22:00:00+00:00,41892.0,36167.458312190756,5724.541687809244,,
2018-09-02 23:00:00+00:00,40642.0,33033.21231516137,7608.7876848386295,,
2018-09-03 00:00:00+00:00,40140.0,30966.185599488483,9173.814400511517,,
2018-09-03 01:00:00+00:00,40195.0,29842.062161473095,10352.937838526905,,
2018-09-03 02:00:00+00:00,41645.0,29745.240267524274,11899.759732475726,,
2018-09-03 03:00:00+00:00,46307.0,30428.36974158986,15878.63025841014,,
2018-09-03 04:00:00+00:00,55479.0,31750.525334310285,23728.474665689715,,
2018-09-03 05:00:00+00:00,61329.0,34408.168983990116,26920.831016009884,,
2018-09-03 06:00:00+00:00,64429.0,38303.40437303852,26125.595626961484,,
2018-09-03 07:00:00+00:00,65429.0,41584.97801363626,23844.02198636374,,
2018-09-03 08:00:00+00:00,66518.0,44013.226718391044,22504.773281608956,,
2018-09-03 09:00:00+00:00,67451.0,45814.09561403401,21636.904385965987,,
2018-09-03 10:00:00+00:00,67219.0,47247.96283133351,19971.037168666488,,
2018-09-03 11:00:00+00:00,67157.0,47075.615171323065,20081.384828676935,,
2018-09-03 12:00:00+00:00,66239.0,45798.61308476418,20440.386915235817,,
2018-09-03 13:00:00+00:00,64846.0,44760.8070591321,20085.1929408679,,
2018-09-03 14:00:00+00:00,63632.0,44620.05668548719,19011.943314512813,,
2018-09-03 15:00:00+00:00,62622.0,46255.38499818837,16366.615001811631,,
2018-09-03 16:00:00+00:00,62683.0,48776.64999401672,13906.35000598328,,
2018-09-03 17:00:00+00:00,62257.0,48494.139615743465,13762.860384256535,,
2018-09-03 18:00:00+00:00,62004.0,46694.12229296736,15309.87770703264,,
2018-09-03 19:00:00+00:00,58689.0,43266.769477608366,15422.230522391634,,
2018-09-03 20:00:00+00:00,54002.0,40813.09888388591,13188.901116114088,,
